dish,genotype,N,phase,nnd_ratio,iid_ratio
2026-06-01_09.57.44_ROI1_TL_W1118_stage3,W1118,10.0,baseline,1.052518149885037,1.1067655749864478
2026-06-01_09.57.44_ROI1_TL_W1118_stage3,W1118,10.0,early EtOH,1.138550352288805,1.088940291359989
2026-06-01_09.57.44_ROI1_TL_W1118_stage3,W1118,10.0,late EtOH,1.103886489095251,0.8936281968760341
2026-06-01_09.57.44_ROI1_TL_W1118_stage3,W1118,10.0,recovery,1.1213270990351842,0.8150290695505948
2026-06-01_09.57.44_ROI2_BL_dSERT_stage3,dSERT,10.0,baseline,1.034472867198257,0.9792734235845718
2026-06-01_09.57.44_ROI2_BL_dSERT_stage3,dSERT,10.0,early EtOH,1.0905385435051949,1.0931828784201068
2026-06-01_09.57.44_ROI2_BL_dSERT_stage3,dSERT,10.0,late EtOH,0.9719044241067701,0.9765625395877908
2026-06-01_09.57.44_ROI2_BL_dSERT_stage3,dSERT,10.0,recovery,1.0049817433707955,0.9522043032052846
2026-06-01_09.57.44_ROI3_TR_dSERT_stage3,dSERT,10.0,baseline,0.963825900864537,0.8954534130283458
2026-06-01_09.57.44_ROI3_TR_dSERT_stage3,dSERT,10.0,early EtOH,1.0747211841478992,1.0854395287604532
2026-06-01_09.57.44_ROI3_TR_dSERT_stage3,dSERT,10.0,late EtOH,1.0649978282321255,1.0430873572204364
2026-06-01_09.57.44_ROI3_TR_dSERT_stage3,dSERT,10.0,recovery,1.0536811250486589,0.9819243305800519
2026-06-01_09.57.44_ROI4_BR_W1118_stage3,W1118,10.0,baseline,1.093287430287686,0.9609708017673649
2026-06-01_09.57.44_ROI4_BR_W1118_stage3,W1118,10.0,early EtOH,1.1717723081515834,1.1269743088020427
2026-06-01_09.57.44_ROI4_BR_W1118_stage3,W1118,10.0,late EtOH,1.0171222760967993,0.8992000031217675
2026-06-01_09.57.44_ROI4_BR_W1118_stage3,W1118,10.0,recovery,0.847270329000499,0.694818166444375
2026-06-03_10.01.39_ROI1_TL_W1118_stage3,W1118,11.0,baseline,0.8888173425552341,0.7204049350774235
2026-06-03_10.01.39_ROI1_TL_W1118_stage3,W1118,11.0,early EtOH,1.1551069336818969,1.1046388126995461
2026-06-03_10.01.39_ROI1_TL_W1118_stage3,W1118,11.0,late EtOH,1.2170049113951007,1.0783666444067426
2026-06-03_10.01.39_ROI1_TL_W1118_stage3,W1118,11.0,recovery,1.3236127317825428,1.0611215465651258
2026-06-03_10.01.39_ROI2_BL_dSERT_stage3,dSERT,10.0,baseline,1.0869527758554527,1.0038909222869736
2026-06-03_10.01.39_ROI2_BL_dSERT_stage3,dSERT,10.0,early EtOH,1.0254720530708585,1.0506295036372966
2026-06-03_10.01.39_ROI2_BL_dSERT_stage3,dSERT,10.0,late EtOH,1.0123426911703868,0.9814745721648532
2026-06-03_10.01.39_ROI2_BL_dSERT_stage3,dSERT,10.0,recovery,1.0495110827911627,0.9779256676430608
2026-06-03_10.01.39_ROI3_TR_dSERT_stage3,dSERT,10.0,baseline,0.9602532212526459,0.9372472478357788
2026-06-03_10.01.39_ROI3_TR_dSERT_stage3,dSERT,10.0,early EtOH,1.090890432718183,1.0773620048552488
2026-06-03_10.01.39_ROI3_TR_dSERT_stage3,dSERT,10.0,late EtOH,1.0132899075902004,0.9902093479595462
2026-06-03_10.01.39_ROI3_TR_dSERT_stage3,dSERT,10.0,recovery,0.9882810478011538,0.9185252896913261
2026-06-03_10.01.39_ROI4_BR_W1118_stage3,W1118,10.0,baseline,1.0434872364386534,0.9148422135470797
2026-06-03_10.01.39_ROI4_BR_W1118_stage3,W1118,10.0,early EtOH,1.1291292009485145,1.0154299248424976
2026-06-03_10.01.39_ROI4_BR_W1118_stage3,W1118,10.0,late EtOH,1.1580265457032304,1.0856839916735033
2026-06-03_10.01.39_ROI4_BR_W1118_stage3,W1118,10.0,recovery,1.3077513650892374,1.0528020858545006
2026-06-04_08.55.54_ROI1_TL_dSERT_stage3,dSERT,10.0,baseline,1.0602303092884497,1.0348960781627363
2026-06-04_08.55.54_ROI1_TL_dSERT_stage3,dSERT,10.0,early EtOH,1.0721529605979463,1.0712146688435729
2026-06-04_08.55.54_ROI1_TL_dSERT_stage3,dSERT,10.0,late EtOH,0.9909713808705494,0.9698441010398351
2026-06-04_08.55.54_ROI1_TL_dSERT_stage3,dSERT,10.0,recovery,0.9599726561898821,0.8797914337006335
2026-06-04_08.55.54_ROI2_BL_W1118_stage3,W1118,9.0,baseline,0.9092744521160021,0.7312475203768263
2026-06-04_08.55.54_ROI2_BL_W1118_stage3,W1118,9.0,early EtOH,1.2360173453848036,1.1294099863900757
2026-06-04_08.55.54_ROI2_BL_W1118_stage3,W1118,9.0,late EtOH,1.1120846335171761,1.1515016650570087
2026-06-04_08.55.54_ROI2_BL_W1118_stage3,W1118,9.0,recovery,0.8084624995891299,0.9248078718883377
2026-06-04_08.55.54_ROI3_TR_W1118_stage3,W1118,10.0,baseline,1.0052725814944221,0.8730934713388554
2026-06-04_08.55.54_ROI3_TR_W1118_stage3,W1118,10.0,early EtOH,1.1675227128187629,1.0644146588777312
2026-06-04_08.55.54_ROI3_TR_W1118_stage3,W1118,10.0,late EtOH,1.1585146626362814,1.0850573951007036
2026-06-04_08.55.54_ROI3_TR_W1118_stage3,W1118,10.0,recovery,0.9765659543886336,0.9167066289712328
2026-06-04_08.55.54_ROI4_BR_dSERT_stage3,dSERT,10.0,baseline,1.0016947330685206,0.9996586273949799
2026-06-04_08.55.54_ROI4_BR_dSERT_stage3,dSERT,10.0,early EtOH,1.0849171177672738,1.0456930086680116
2026-06-04_08.55.54_ROI4_BR_dSERT_stage3,dSERT,10.0,late EtOH,1.036387874171884,0.9679700536782896
2026-06-04_08.55.54_ROI4_BR_dSERT_stage3,dSERT,10.0,recovery,0.9692981026427123,0.90527926680022
2026-06-04_09.26.26_ROI1_TL_W1118_stage3,W1118,10.0,baseline,0.8937591245640578,0.7572883700808641
2026-06-04_09.26.26_ROI1_TL_W1118_stage3,W1118,10.0,early EtOH,1.111536087655762,1.087512694002653
2026-06-04_09.26.26_ROI1_TL_W1118_stage3,W1118,10.0,late EtOH,1.1938803076408835,1.0351838652033283
2026-06-04_09.26.26_ROI1_TL_W1118_stage3,W1118,10.0,recovery,1.2082689509745748,1.0298498418917572
2026-06-04_09.26.26_ROI2_BL_dSERT_stage3,dSERT,10.0,baseline,0.9639214384225435,0.9261667563328603
2026-06-04_09.26.26_ROI2_BL_dSERT_stage3,dSERT,10.0,early EtOH,1.0958884581682096,1.11568149640272
2026-06-04_09.26.26_ROI2_BL_dSERT_stage3,dSERT,10.0,late EtOH,1.000855982791287,0.9873511127508763
2026-06-04_09.26.26_ROI2_BL_dSERT_stage3,dSERT,10.0,recovery,0.9840442631344352,0.9149546110055771
2026-06-04_09.26.26_ROI3_TR_dSERT_stage3,dSERT,9.0,baseline,0.9861095367654776,0.8980235268806889
2026-06-04_09.26.26_ROI3_TR_dSERT_stage3,dSERT,9.0,early EtOH,1.0522984941034295,1.0707122518481025
2026-06-04_09.26.26_ROI3_TR_dSERT_stage3,dSERT,9.0,late EtOH,1.0082896779646584,1.0209700410908704
2026-06-04_09.26.26_ROI3_TR_dSERT_stage3,dSERT,9.0,recovery,0.9284503846592768,0.9199573483328125
2026-06-04_09.26.26_ROI4_BR_W1118_stage3,W1118,9.0,baseline,0.8194680531640741,0.6974470316020746
2026-06-04_09.26.26_ROI4_BR_W1118_stage3,W1118,9.0,early EtOH,1.143875039104947,1.137572475405715
2026-06-04_09.26.26_ROI4_BR_W1118_stage3,W1118,9.0,late EtOH,1.0620129682356227,1.0110660443813528
2026-06-04_09.26.26_ROI4_BR_W1118_stage3,W1118,9.0,recovery,0.9596076365045664,0.784772472476214
2026-06-10_12.56.17_ROI1_TL_W1118_stage3,W1118,10.0,baseline,0.7901686234464351,0.6532671163910204
2026-06-10_12.56.17_ROI1_TL_W1118_stage3,W1118,10.0,early EtOH,1.2158220107526514,1.214935142843087
2026-06-10_12.56.17_ROI1_TL_W1118_stage3,W1118,10.0,late EtOH,1.2690956146293781,1.0285487354791583
2026-06-10_12.56.17_ROI1_TL_W1118_stage3,W1118,10.0,recovery,1.1995623464312528,0.9383350004758878
2026-06-10_12.56.17_ROI2_BL_dSERT_stage3,dSERT,9.0,baseline,0.9011550653040769,0.9222171157448309
2026-06-10_12.56.17_ROI2_BL_dSERT_stage3,dSERT,9.0,early EtOH,1.0996218778617646,1.080610514248381
2026-06-10_12.56.17_ROI2_BL_dSERT_stage3,dSERT,9.0,late EtOH,1.0193892227004526,0.9918020588905995
2026-06-10_12.56.17_ROI2_BL_dSERT_stage3,dSERT,9.0,recovery,1.0160267280117765,0.9279482137305549
2026-06-10_12.56.17_ROI3_TR_dSERT_stage3,dSERT,10.0,baseline,0.9746210732858489,0.9666579350503285
2026-06-10_12.56.17_ROI3_TR_dSERT_stage3,dSERT,10.0,early EtOH,1.0400782409819387,1.0363810446607378
2026-06-10_12.56.17_ROI3_TR_dSERT_stage3,dSERT,10.0,late EtOH,1.0548220153979053,1.0165350811293428
2026-06-10_12.56.17_ROI3_TR_dSERT_stage3,dSERT,10.0,recovery,1.052352891882303,0.9483354650452982
2026-06-10_12.56.17_ROI4_BR_W1118_stage3,W1118,10.0,baseline,1.043066977195343,0.9343664800569608
2026-06-10_12.56.17_ROI4_BR_W1118_stage3,W1118,10.0,early EtOH,1.1632546362275291,1.0991823243005154
2026-06-10_12.56.17_ROI4_BR_W1118_stage3,W1118,10.0,late EtOH,1.048291984452015,0.9491741085365881
2026-06-10_12.56.17_ROI4_BR_W1118_stage3,W1118,10.0,recovery,0.9242725476459734,0.8077983173101625
2026-06-10_13.27.42_ROI1_TL_dSERT_stage3,dSERT,10.0,baseline,0.965571711439357,0.8809797834023332
2026-06-10_13.27.42_ROI1_TL_dSERT_stage3,dSERT,10.0,early EtOH,1.0302563123062414,1.035269169580761
2026-06-10_13.27.42_ROI1_TL_dSERT_stage3,dSERT,10.0,late EtOH,1.0775407300737208,1.0286517353984561
2026-06-10_13.27.42_ROI1_TL_dSERT_stage3,dSERT,10.0,recovery,1.0749838717447533,1.0679010306402172
2026-06-10_13.27.42_ROI2_BL_W1118_stage3,W1118,11.0,baseline,0.961454619120023,0.7978360615695969
2026-06-10_13.27.42_ROI2_BL_W1118_stage3,W1118,11.0,early EtOH,1.2387858742188604,1.145396121624382
2026-06-10_13.27.42_ROI2_BL_W1118_stage3,W1118,11.0,late EtOH,1.1543816369046442,1.12904443992563
2026-06-10_13.27.42_ROI2_BL_W1118_stage3,W1118,11.0,recovery,0.9385792127903336,1.0201040841933517
2026-06-10_13.27.42_ROI3_TR_W1118_stage3,W1118,10.0,baseline,1.0069821806332164,0.8993692073319272
2026-06-10_13.27.42_ROI3_TR_W1118_stage3,W1118,10.0,early EtOH,1.1637472961929731,1.042057143777206
2026-06-10_13.27.42_ROI3_TR_W1118_stage3,W1118,10.0,late EtOH,1.0260049886936167,1.0169570103909658
2026-06-10_13.27.42_ROI3_TR_W1118_stage3,W1118,10.0,recovery,0.9129729742511514,1.0275283169024685
2026-06-10_13.27.42_ROI4_BR_dSERT_stage3,dSERT,10.0,baseline,0.9927737490218254,0.8857023998400188
2026-06-10_13.27.42_ROI4_BR_dSERT_stage3,dSERT,10.0,early EtOH,1.0397679466401915,1.0134264113935252
2026-06-10_13.27.42_ROI4_BR_dSERT_stage3,dSERT,10.0,late EtOH,1.108566907842499,1.0226276472318243
2026-06-10_13.27.42_ROI4_BR_dSERT_stage3,dSERT,10.0,recovery,1.0120886792444106,1.0398976893298142
2026-06-18_13.12.28_ROI1_TL_dSERT_stage3,dSERT,10.0,baseline,0.9977788787765729,0.9923947993646641
2026-06-18_13.12.28_ROI1_TL_dSERT_stage3,dSERT,10.0,early EtOH,1.1038532182852676,1.0805660103397223
2026-06-18_13.12.28_ROI1_TL_dSERT_stage3,dSERT,10.0,late EtOH,1.0374649356704215,0.9938103894170418
2026-06-18_13.12.28_ROI1_TL_dSERT_stage3,dSERT,10.0,recovery,1.017200088601002,0.9800369476802456
2026-06-18_13.12.28_ROI2_BL_W1118_stage3,W1118,10.0,baseline,0.9881043039016365,0.8360939636145303
2026-06-18_13.12.28_ROI2_BL_W1118_stage3,W1118,10.0,early EtOH,1.2487668877012368,1.1612807334447912
2026-06-18_13.12.28_ROI2_BL_W1118_stage3,W1118,10.0,late EtOH,1.1463890071346898,1.0759343173839693
2026-06-18_13.12.28_ROI2_BL_W1118_stage3,W1118,10.0,recovery,0.9080525043518428,0.9179605077678992
2026-06-18_13.12.28_ROI3_TR_W1118_stage3,W1118,10.0,baseline,0.982859301976639,0.9392284696956187
2026-06-18_13.12.28_ROI3_TR_W1118_stage3,W1118,10.0,early EtOH,1.1091816556420027,1.0995750538848679
2026-06-18_13.12.28_ROI3_TR_W1118_stage3,W1118,10.0,late EtOH,1.089457370847654,1.0905843749866724
2026-06-18_13.12.28_ROI3_TR_W1118_stage3,W1118,10.0,recovery,1.0610583527298991,0.9629166242504957
2026-06-18_13.12.28_ROI4_BR_dSERT_stage3,dSERT,10.0,baseline,0.9900719749572671,0.9583999272207014
2026-06-18_13.12.28_ROI4_BR_dSERT_stage3,dSERT,10.0,early EtOH,1.0794749048713246,1.0800497596189118
2026-06-18_13.12.28_ROI4_BR_dSERT_stage3,dSERT,10.0,late EtOH,1.0772772677261575,1.0214836657785908
2026-06-18_13.12.28_ROI4_BR_dSERT_stage3,dSERT,10.0,recovery,1.072177398711092,1.0128639951137475
2026-06-18_13.43.17_ROI1_TL_W1118_stage3,W1118,10.0,baseline,0.7749797452566654,0.6634408113883011
2026-06-18_13.43.17_ROI1_TL_W1118_stage3,W1118,10.0,early EtOH,1.2314106240520453,1.2292522980951328
2026-06-18_13.43.17_ROI1_TL_W1118_stage3,W1118,10.0,late EtOH,1.169180534736038,1.102075058978533
2026-06-18_13.43.17_ROI1_TL_W1118_stage3,W1118,10.0,recovery,0.9239306234393747,0.8203052069755248
2026-06-18_13.43.17_ROI2_BL_dSERT_stage3,dSERT,10.0,baseline,0.8839269021340156,0.8499387208691924
2026-06-18_13.43.17_ROI2_BL_dSERT_stage3,dSERT,10.0,early EtOH,1.0718173355966019,1.128268686315443
2026-06-18_13.43.17_ROI2_BL_dSERT_stage3,dSERT,10.0,late EtOH,1.021633406570948,1.041285222892634
2026-06-18_13.43.17_ROI2_BL_dSERT_stage3,dSERT,10.0,recovery,0.9871889330775342,0.9125069860996902
2026-06-18_13.43.17_ROI3_TR_dSERT_stage3,dSERT,9.0,baseline,0.9538833212333659,0.9736232567332848
2026-06-18_13.43.17_ROI3_TR_dSERT_stage3,dSERT,9.0,early EtOH,1.0926630791840808,1.0618067185035023
2026-06-18_13.43.17_ROI3_TR_dSERT_stage3,dSERT,9.0,late EtOH,1.0530795395811634,0.9897785882274582
2026-06-18_13.43.17_ROI3_TR_dSERT_stage3,dSERT,9.0,recovery,1.1045383226109833,1.0061510056515088
2026-06-18_13.43.17_ROI4_BR_W1118_stage3,W1118,9.0,baseline,0.9253468801471293,0.7540088034049197
2026-06-18_13.43.17_ROI4_BR_W1118_stage3,W1118,9.0,early EtOH,1.1084148919467662,1.1294499163019371
2026-06-18_13.43.17_ROI4_BR_W1118_stage3,W1118,9.0,late EtOH,1.0619865719068113,1.0247223690887957
2026-06-18_13.43.17_ROI4_BR_W1118_stage3,W1118,9.0,recovery,0.9850992070632344,0.9265151502633527
2026-05-11_14.45.39_ROI1_TL_dSERT_stage3,dSERT,10.0,baseline,1.2019726657240948,0.9675743086294738
2026-05-11_14.45.39_ROI1_TL_dSERT_stage3,dSERT,10.0,early EtOH,1.0823193810201188,1.0667098024600166
2026-05-11_14.45.39_ROI1_TL_dSERT_stage3,dSERT,10.0,late EtOH,1.0721582338117568,1.0438930252979983
2026-05-11_14.45.39_ROI1_TL_dSERT_stage3,dSERT,10.0,recovery,1.0851867733532732,1.02760586590152
2026-05-11_14.45.39_ROI2_BL_W1118_stage3,W1118,10.0,baseline,0.79024688079208,0.7115366654166749
2026-05-11_14.45.39_ROI2_BL_W1118_stage3,W1118,10.0,early EtOH,1.1896020720229614,1.1546533940333004
2026-05-11_14.45.39_ROI2_BL_W1118_stage3,W1118,10.0,late EtOH,1.0782887778432384,1.0351393668072761
2026-05-11_14.45.39_ROI2_BL_W1118_stage3,W1118,10.0,recovery,1.1056761451791182,0.9943323863549364
2026-05-11_14.45.39_ROI3_TR_W1118_stage3,W1118,10.0,baseline,1.0048983830782072,0.8841047813290509
2026-05-11_14.45.39_ROI3_TR_W1118_stage3,W1118,10.0,early EtOH,1.2335587484411517,1.1336622529664433
2026-05-11_14.45.39_ROI3_TR_W1118_stage3,W1118,10.0,late EtOH,1.1623756196058648,1.0765723492177672
2026-05-11_14.45.39_ROI3_TR_W1118_stage3,W1118,10.0,recovery,1.0739143208938184,0.9617354499192153
2026-05-11_14.45.39_ROI4_BR_dSERT_stage3,dSERT,9.0,baseline,0.8573628876114235,0.8998940353731082
2026-05-11_14.45.39_ROI4_BR_dSERT_stage3,dSERT,9.0,early EtOH,1.0668524262039691,1.027470054674302
2026-05-11_14.45.39_ROI4_BR_dSERT_stage3,dSERT,9.0,late EtOH,1.0414160670500832,1.0111560971369615
2026-05-11_14.45.39_ROI4_BR_dSERT_stage3,dSERT,9.0,recovery,1.10939074637431,1.0484712502668054
2026-05-13_13.05.20_ROI1_TL_dSERT_stage3,dSERT,10.0,baseline,1.1378126561223343,1.1008172543075505
2026-05-13_13.05.20_ROI1_TL_dSERT_stage3,dSERT,10.0,early EtOH,1.1451633271962367,1.117286236198472
2026-05-13_13.05.20_ROI1_TL_dSERT_stage3,dSERT,10.0,late EtOH,0.9761186691742592,0.944167606186481
2026-05-13_13.05.20_ROI1_TL_dSERT_stage3,dSERT,10.0,recovery,1.0051789196269536,0.8807372692060836
2026-05-13_13.05.20_ROI2_BL_W1118_stage3,W1118,10.0,baseline,0.9504476125009559,0.8923469094190777
2026-05-13_13.05.20_ROI2_BL_W1118_stage3,W1118,10.0,early EtOH,1.0913195652073369,1.0991804100409204
2026-05-13_13.05.20_ROI2_BL_W1118_stage3,W1118,10.0,late EtOH,1.0533680154650915,1.0197591739979395
2026-05-13_13.05.20_ROI2_BL_W1118_stage3,W1118,10.0,recovery,0.9886821338206575,0.9474725230175302
2026-05-13_13.05.20_ROI3_TR_dSERT_stage3,dSERT,10.0,baseline,1.005752823215774,0.9848419047881767
2026-05-13_13.05.20_ROI3_TR_dSERT_stage3,dSERT,10.0,early EtOH,1.0643536116465355,1.0819867687983349
2026-05-13_13.05.20_ROI3_TR_dSERT_stage3,dSERT,10.0,late EtOH,1.0349478569673671,0.9930621829231021
2026-05-13_13.05.20_ROI3_TR_dSERT_stage3,dSERT,10.0,recovery,0.9870652116595454,0.9303606509793627
2026-05-13_13.05.20_ROI4_BR_W1118_stage3,W1118,10.0,baseline,0.9621863921706757,0.88604434679015
2026-05-13_13.05.20_ROI4_BR_W1118_stage3,W1118,10.0,early EtOH,1.1569411424819045,1.12579437503183
2026-05-13_13.05.20_ROI4_BR_W1118_stage3,W1118,10.0,late EtOH,1.0574223395005162,0.9968539874030229
2026-05-13_13.05.20_ROI4_BR_W1118_stage3,W1118,10.0,recovery,0.9300339763894798,1.0277951556172589
2026-05-13_13.36.00_ROI1_TL_W1118_stage3,W1118,9.0,baseline,1.0610930663818203,1.03565705726818
2026-05-13_13.36.00_ROI1_TL_W1118_stage3,W1118,9.0,early EtOH,1.1209406810946438,1.0635597752520507
2026-05-13_13.36.00_ROI1_TL_W1118_stage3,W1118,9.0,late EtOH,1.0441889786402097,0.9662690683938322
2026-05-13_13.36.00_ROI1_TL_W1118_stage3,W1118,9.0,recovery,0.98168220287238,0.9101153736291029
2026-05-13_13.36.00_ROI2_BL_dSERT_stage3,dSERT,9.0,baseline,0.8441979585917597,0.7739817430159747
2026-05-13_13.36.00_ROI2_BL_dSERT_stage3,dSERT,9.0,early EtOH,1.259558739464404,1.2299794542395885
2026-05-13_13.36.00_ROI2_BL_dSERT_stage3,dSERT,9.0,late EtOH,1.1477551711658207,0.9925044380995771
2026-05-13_13.36.00_ROI2_BL_dSERT_stage3,dSERT,9.0,recovery,0.9455840085421009,0.9053926763453615
2026-05-13_13.36.00_ROI3_TR_dSERT_stage3,dSERT,10.0,baseline,0.9456782597662521,0.7981517491021198
2026-05-13_13.36.00_ROI3_TR_dSERT_stage3,dSERT,10.0,early EtOH,1.1235584151873985,1.1415786949157178
